—лово               ѕравильные ответы   Ќеправильные ответы 
отбылј               0                    0                   
бјловень             0                    0                   
назвалјсь            0                    0                   
щем»ть               0                    0                   
щ®лкать              0                    0                   
бралј                0                    0                   
ободр»шьс€           0                    0                   
включ»т              0                    0                   
формировјть          0                    0                   
осв≈домишьс€         0                    0                   
одолж»ть             0                    0                   
повтор»т             0                    0                   
позвон»шь            0                    0                   
перезвон»т           0                    0                   
полож»л              0                    0                   
убралј               0                    0                   
отдалј               0                    0                   
отозвалјсь           0                    0                   
окруж»ть             0                    0                   
жилќсь               0                    0                   
звалј,               0                    0                   
одолж»т              0                    0                   
углуб»ть             0                    0                   
позвалј              0                    0                   
насор»т              0                    0                   
вруч»ть              0                    0                   
зјн€ли               0                    0                   
щем»т                0                    0                   
опќшлить             0                    0                   
зак”порить           0                    0                   
позвон»т             0                    0                   
рвалј                0                    0                   
лгалј                0                    0                   
нјчали               0                    0                   
ждалј                0                    0                   
опломбировјть        0                    0                   
полож»ть             0                    0                   
надел»т              0                    0                   
пон€лј               0                    0                   
накрен»тьс€          0                    0                   
окл≈ить              0                    0                   
ободралј             0                    0                   
отозвјтьс€           0                    0                   
вл»тьс€              0                    0                   
крјлась              0                    0                   
надел»ть             0                    0                   
зјн€ло               0                    0                   
сортировјть          0                    0                   
звон»м               0                    0                   
ободр»тьс€           0                    0                   
обостр»ть            0                    0                   
дозвон»тс€,          0                    0                   
включ»шь,            0                    0                   
вруч»т               0                    0                   
принять              0                    0                   
навралј              0                    0                   
восприн€лј           0                    0                   
понять               0                    0                   
отозвјть             0                    0                   
звон»шь              0                    0                   
облилјсь             0                    0                   
сверл»ть             0                    0                   
включ»м              0                    0                   
позвон»ть            0                    0                   
заперлјсь            0                    0                   
облегч»ть            0                    0                   
сорвалј              0                    0                   
сверл»т              0                    0                   
сверл»шь             0                    0                   
отк”порил            0                    0                   
осв≈домитьс€         0                    0                   
дозвон»тьс€          0                    0                   
накрен»тс€           0                    0                   
влилјсь              0                    0                   
отк”порить           0                    0                   
включ»ть             0                    0                   
лилј                 0                    0                   
сн€лј                0                    0                   
убыстр»ть            0                    0                   
доз»ровать           0                    0                   
заперлј              0                    0                   


ѕричасти€

нјжитый              0                    0                   
низвед®нный          0                    0                   
сн€тј                0                    0                   
наж»вший             0                    0                   
пр»н€тый             0                    0                   
обостр®нный          0                    0                   
определ®нный         0                    0                   
зјн€тый              0                    0                   
включ®нный           0                    0                   
заселенј             0                    0                   
сќгнутый             0                    0                   
кровоточјщий         0                    0                   
балќванный           0                    0                   
зјпертый             0                    0                   
подел®нный           0                    0                   
ободр®н              0                    0                   
зан€тј               0                    0                   
довез®нный           0                    0                   
нјчатый              0                    0                   
ободр®нный           0                    0                   
отключ®нный          0                    0                   
налитј               0                    0                   
зјгнутый             0                    0                   
засел®нный           0                    0                   
нажитј               0                    0                   
избалќванный         0                    0                   
низвед®н,            0                    0                   
нанявшийс€           0                    0                   
прож»вший            0                    0                   
прируч®нный          0                    0                   
кормящий             0                    0                   
повтор®нный          0                    0                   
понявший             0                    0                   
нал»вший             0                    0                   
включ®н,             0                    0                   
молящий              0                    0                   
запертј              0                    0                   
начјвший             0                    0                   
ободренј             0                    0                   


ƒеепричасти€

бал”€сь              0                    0                   
подняв               0                    0                   
начјв                0                    0                   
отдјв                0                    0                   
зак”порив            0                    0                   
начјвшись            0                    0                   
поняв                0                    0                   
прибџв               0                    0                   


Ќаречи€

дон≈льз€             0                    0                   
крас»вее             0                    0                   
дќнизу               0                    0                   
нав≈рх               0                    0                   
зјгод€               0                    0                   
зјтемно              0                    0                   
зав»дно              0                    0                   
вќврем€              0                    0                   
надќлго              0                    0                   
добелј               0                    0                   
ненадќлго            0                    0                   
зјсветло             0                    0                   
дќсуха               0                    0                   
дќверху              0                    0                   


